image,label
dogs/1687885597868449400.jpg,1
dogs/1687885597954801400.jpg,1
dogs/1687885598024635500.jpg,1
dogs/1687885598095082900.jpg,1
dogs/1687885598153745100.jpg,1
dogs/1687885598215067500.jpg,1
dogs/1687885598275379800.jpg,1
dogs/1687885598337464300.jpg,1
dogs/1687885598396784400.jpg,1
dogs/1687885598456552900.jpg,1
dogs/1687885598514663500.jpg,1
dogs/1687885598581945400.jpg,1
dogs/1687885598647300400.jpg,1
dogs/1687885598709713700.jpg,1
dogs/1687885598767710300.jpg,1
dogs/1687885598827158600.jpg,1
dogs/1687885598885892200.jpg,1
dogs/1687885598945545400.jpg,1
dogs/1687885599006250800.jpg,1
dogs/1687885599064632200.jpg,1
dogs/1687885599122350700.jpg,1
dogs/1687885599181577300.jpg,1
dogs/1687885599242173100.jpg,1
dogs/1687885599306201900.jpg,1
dogs/1687885599365844400.jpg,1
cats/1687885599774338700.jpg,0
cats/1687885599832954800.jpg,0
cats/1687885599893949000.jpg,0
cats/1687885599953821500.jpg,0
cats/1687885600016887300.jpg,0
cats/1687885600077633100.jpg,0
cats/1687885600143466400.jpg,0
cats/1687885600204650300.jpg,0
cats/1687885600265816900.jpg,0
cats/1687885600329481300.jpg,0
cats/1687885600391435800.jpg,0
cats/1687885600450297300.jpg,0
cats/1687885600511915500.jpg,0
cats/1687885600571941400.jpg,0
cats/1687885600634523800.jpg,0
cats/1687885600694900200.jpg,0
cats/1687885600756885600.jpg,0
cats/1687885600817892900.jpg,0
cats/1687885600875654500.jpg,0
cats/1687885600934775300.jpg,0
cats/1687885600993855600.jpg,0
cats/1687885601121961000.jpg,0
cats/1687885601185146600.jpg,0
cats/1687885601243231300.jpg,0
cats/1687885601307150800.jpg,0
cats/1687885601368436800.jpg,0
